step,value
0,36.05666732788086
1,66.125
2,70.09333038330078
3,71.45500183105469
4,74.55166625976562
5,78.7699966430664
6,81.41500091552734
7,83.20500183105469
8,84.66666412353516
9,85.75833129882812
10,86.64666748046875
11,87.29499816894531
12,87.79499816894531
13,88.23999786376953
14,88.59333038330078
15,88.89833068847656
16,89.1683349609375
17,89.38166809082031
18,89.6066665649414
19,89.77666473388672
20,89.9183349609375
21,90.06666564941406
22,90.20999908447266
23,90.35166931152344
24,90.51000213623047
25,90.58833312988281
26,90.711669921875
27,90.82166290283203
28,90.93000030517578
29,91.04499816894531
